,Name,Location,Contact Persons,Source
0,GracieBarraVancouver,Canada,Rodrigo Carvalho,https://smoothcomp.com/en/club/6605
1,"BattleArtsAcademy,Mississauga","4880 Tomken Rd, Mississauga, ON L4W 1J8,",Brendon May,https://smoothcomp.com/en/club/21170
2,CurrentBJJ,"6800 Kitimat Rd, Unit 27, Mississauga ON, L5N 5M1,",Hannah Brown,https://smoothcomp.com/en/club/47454
3,CarlsonGracieTeam,Canada,Mario Decosta,https://smoothcomp.com/en/club/7888
4,BurnabyVancouverJiu-Jitsu(BVJJ),"3738 Canada Way,",Eduardo Cadena,https://smoothcomp.com/en/club/14454
5,BOABJJMMA,Canada,,https://smoothcomp.com/en/club/7735
6,TeamRenzoGracieOttawa,Canada,Pat Cooligan,https://smoothcomp.com/en/club/12007
7,10thPlanetVancouver,Canada,Nabil Salameh,https://smoothcomp.com/en/club/24572
8,RevelationMartialArts,Canada,John Sawatzky,https://smoothcomp.com/en/club/6750
9,Lionsmma,Canada,,https://smoothcomp.com/en/club/7789
10,IslandTopTeam,Canada,,https://smoothcomp.com/en/club/7780
11,PureMartialArts,Canada,,https://smoothcomp.com/en/club/7816
12,PacificTopTeamKelowna,Canada,Candace Robertson,https://smoothcomp.com/en/club/7806
13,Pound4Pound-ResoluteJiu-Jitsu,"940 Brock Rd #7, Pickering, ON L1W 2X9,",Marco Costa,https://smoothcomp.com/en/club/38746
14,101Academy,Canada,Fatima Eltassi,https://smoothcomp.com/en/club/7715
15,PacificTopTeamKamloops,Canada,,https://smoothcomp.com/en/club/7805
16,SantosBrothersBJJ,"2486 Dufferin St, York, ON M6B3R1,",Jayden Raposo,https://smoothcomp.com/en/club/29632
17,GracieBarraLaval,Canada,,https://smoothcomp.com/en/club/9925
18,CLFKungFuClub,"4451 No. 3 Road, #213, Richmond, BC, Canada v6x2c3,",Paul Tam,https://smoothcomp.com/en/club/52145
19,WAMMA,Canada,Chris Poudrier,https://smoothcomp.com/en/club/6517
20,SouthIslandBJJ,Canada,,https://smoothcomp.com/en/club/8435
21,YorkJudoBJJ,Canada,,https://smoothcomp.com/en/club/22074
22,RENZOGRACIEACADEMYOTTAWA,Canada,,https://smoothcomp.com/en/club/6251
23,alliancevancouver,Canada,Cedric Co Ling,https://smoothcomp.com/en/club/7720
24,GracieBarraOttawa,"3777 Strandherd Dr #99, Nepean ON K2J 481,",Nicholas Castiglia,https://smoothcomp.com/en/club/15840
25,Wu'sTaekwondoSchool(Canada),"4400 Hazelbridge Way , Richmond , Canada,",GM Ricky WU,https://smoothcomp.com/en/club/40574
26,JudokasJonquière,Canada,,https://smoothcomp.com/en/club/22071
27,GraciebarraLangley,Canada,,https://smoothcomp.com/en/club/7768
28,VanIsleBJJ,Canada,,https://smoothcomp.com/en/club/7843
29,PacificTopTeamWestKelowna,Canada,Ariel Sommers,https://smoothcomp.com/en/club/7811
30,ZumaMartialArts,Canada,Blake Mcvittie,https://smoothcomp.com/en/club/7849
31,RodrigoResendeAcademy,Canada,Rodrigo Resende,https://smoothcomp.com/en/club/7823
32,PacificTopTeamPenticton,Canada,,https://smoothcomp.com/en/club/7807
33,AndersonGoncalvesBJJ,Canada,Chris Merten,https://smoothcomp.com/en/club/7722
34,NovaGym,Canada,,https://smoothcomp.com/en/club/10123
35,GracieBarraNorthYorkToronto,"100 Bridgeland Ave, North York, ON M6A 1Z4",Fabiano Freitas,https://smoothcomp.com/en/club/13660
36,ProgressionBJJ,"4056 Meadowbrook drive London, Ontario,",James Haourt,https://smoothcomp.com/en/club/14273
37,GracieBarraEdmonton,Canada,Ryan McGillivray,https://smoothcomp.com/en/club/7765
38,LopesBJJ,"1908 Sharpe's Ln #103, Brockville, ON, K6V 5T1,",Emerson Lopes Junior,https://smoothcomp.com/en/club/42012
39,CARLSONGRACIEMONTREAL,Canada,TRI NGUYEN,https://smoothcomp.com/en/club/6246
40,KodokanYYC,Canada,Randy Chung,https://smoothcomp.com/en/club/7786
41,ModernMartialArts,Canada,Dylan Tooke,https://smoothcomp.com/en/club/8367
42,MXTSaintJohn,Canada,Joe Pilmer,https://smoothcomp.com/en/club/7196
43,PacificTopTeamVernon,Canada,,https://smoothcomp.com/en/club/7810
44,StrathconaChoyLeeFut,Canada,Amy Pon,https://smoothcomp.com/en/club/13390
45,10thPlanetJiuJitsuMontreal,Canada,Samuel Bergeron,https://smoothcomp.com/en/club/9930
46,KaboomBJJ,Canada,,https://smoothcomp.com/en/club/7783
47,MarmacAthletics,Canada,Lisa Baxter,https://smoothcomp.com/en/club/7361
48,GracieBarraWhiteRock,Canada,Eduardo Jovel,https://smoothcomp.com/en/club/9309
49,openmatmma,Canada,Rodrigo Goncales,https://smoothcomp.com/en/club/4214
50,CanadianFightingCenter,Canada,Carlos Costa Da Cunha,https://smoothcomp.com/en/club/6713
51,PlatinumTrainingFacility,"561 Southdale Rd E, London ON,",Aaron Esdon,https://smoothcomp.com/en/club/31804
52,Shidokan,Canada,,https://smoothcomp.com/en/club/22043
53,TITANSMMA,Canada,MICHAEL KITSON,https://smoothcomp.com/en/club/6259
54,LeadingEdge,Canada,Marc Perrier,https://smoothcomp.com/en/club/6856
55,CJMartialArtsandFitness,Canada,,https://smoothcomp.com/en/club/7747
56,FITPLUSMARTIALARTS/NOVAUNIAO,Canada,EMMA MACLEAN,https://smoothcomp.com/en/club/6245
57,ArashiDoRedDeer,Canada,Gary Vig,https://smoothcomp.com/en/club/7727
58,GracieBarraSurrey,Canada,Kevin Yang,https://smoothcomp.com/en/club/7769
59,braziliantopteam(canada),Canada,BROCK WHITEHEAD,https://smoothcomp.com/en/club/6023
60,ChampionsCreedMartialArts,Canada,Michael Simmins,https://smoothcomp.com/en/club/7745
61,SubmissionsAcademyMilton,"400 Morobel Dr, Milton, ON L9T 4N6, Canada,",Marco Costa,https://smoothcomp.com/en/club/38728
62,ChallengeSportsClub,Canada,,https://smoothcomp.com/en/club/22033
63,SubmissionArtsAcademy-Barrie,"112 Commerce Park Dr, Barrie, ON L4N 8W8,",Madeline Laporte,https://smoothcomp.com/en/club/14642
64,GreenwoodJiuJitsu,Canada,Kane Pereira,https://smoothcomp.com/en/club/15342
65,UndisputedSouth(GreenValley/Sahuarita),101 S la Canada,Matt Blank,https://smoothcomp.com/en/club/20991
66,BibianoFernandesAcademy,Canada,Jordan McKay,https://smoothcomp.com/en/club/7733
67,KamikazePunishment,Canada,Cody Ries,https://smoothcomp.com/en/club/7784
68,TrilliumMMA,"770 Birchmount Rd #27, Scarborough, ON M1K 1R7,",Jim Tran,https://smoothcomp.com/en/club/38105
69,JudoBlainville,Canada,,https://smoothcomp.com/en/club/22022
70,BrigadaBJJ,"1963 Ontario street east,",Nikolai Smith,https://smoothcomp.com/en/club/15952
71,10thPlanetHQ,Canada,Jesse Veltri,https://smoothcomp.com/en/club/6826
72,BLACKXICANSJIUJITSU,"AVENIDA PEDRO LOYOLA 462 INT 3 COLONIA CARLOS PACHECO ENSENADA , BAJA CALIFORNIA,",,https://smoothcomp.com/en/club/49010
73,PictouCountyJiu-Jitsu,Canada,Alex Macdonald,https://smoothcomp.com/en/club/11360
74,ZombieProof,Canada,,https://smoothcomp.com/en/club/3385
75,None,Canada,Jason Thibert,https://smoothcomp.com/en/club/6902
76,CompleteFitnessMartialArts,Canada,,https://smoothcomp.com/en/club/7751
77,Seikidokan,Canada,,https://smoothcomp.com/en/club/22070
78,DiazCombatSports,"747 Gore Ave, Vancouver, BC V6A 2Z9 Canada,",Diaz Sports,https://smoothcomp.com/en/club/17093
79,titansmma,Canada,,https://smoothcomp.com/en/club/4236
80,Scheer's,Canada,Damyen Reid,https://smoothcomp.com/en/club/7511
81,WestcoastBJJ,Canada,,https://smoothcomp.com/en/club/7846
82,Westislandjiu-jitsu,Canada,,https://smoothcomp.com/en/club/10130
83,EBOMartialArts,"10 Rue Belmont, Aylmer-Quebec, Canada J9H 6J5,",Santiago Estevez,https://smoothcomp.com/en/club/39771
84,GracieHumaitaWoodbridge,"7500 ON-27 Unit 25,",Dave Isaacs,https://smoothcomp.com/en/club/31265
85,SouthernIndianaMartialArts,"2107 CORYDON PIKE (Warehouse B),",Jeffrey Baugh,https://smoothcomp.com/en/club/19055
86,ArashiDoBEHRING,Canada,Kevin Deamond,https://smoothcomp.com/en/club/7725
87,KomodoAcademy,Canada,Gage Garand,https://smoothcomp.com/en/club/8103
88,RDCBJJ,Canada,,https://smoothcomp.com/en/club/7818
89,SAMPABJJ,Canada,SIMON POIRIER,https://smoothcomp.com/en/club/6249
90,H2OMMA,Canada,,https://smoothcomp.com/en/club/9936
91,AcademixAcademy,"1267 Garrison Road, Fort Erie Ontario,",Dave Shaw,https://smoothcomp.com/en/club/13186
92,GravityBJJ,Canada,Clayton Bundschuh,https://smoothcomp.com/en/club/7774
93,AegisMMA,"2304 Lakeshore Rd W, Oakville, ON L6L 1H3,",,https://smoothcomp.com/en/club/37093
94,GracieWoodbridge,"7500 ON-27 #25, Woodbridge, ON L4H 0J2,",,https://smoothcomp.com/en/club/37243
95,TrueNorthJiu-Jitsu,Canada,,https://smoothcomp.com/en/club/8603
96,NorfolkJiuJitsu,"26 North Main St. Simcoe Ontario,",Liam Twinem,https://smoothcomp.com/en/club/49444
97,LegendsTrainingCentre,Canada,,https://smoothcomp.com/en/club/8192
98,ExperienceMMA,Canada,Danny Fung,https://smoothcomp.com/en/club/9920
99,TitanMMA(coquitlam),Canada,Tylor Nicholson,https://smoothcomp.com/en/club/8511
100,BoaJiuJitsuClub,Canada,,https://smoothcomp.com/en/club/7352
101,AjaxBudokanJudoClub,Canada,,https://smoothcomp.com/en/club/22067
102,GrizzlyGym,"550 Cataraqui Woods Drive, Kingston, Ontario,",Mike Martelle,https://smoothcomp.com/en/club/15257
103,ARESBJJMEX,"EJERCITO NACIONAL 1472 FRACC. LA PRADERA,",VICTOR RODRIGUEZ,https://smoothcomp.com/en/club/31337
104,BacktotheMatBJJ,Canada,Allan Clarke,https://smoothcomp.com/en/club/8016
105,SudburyBJJ,Canada,Steve Joncas,https://smoothcomp.com/en/club/37387
106,BudoMartialArts-Burnaby,Canada,Scott Boudreau,https://smoothcomp.com/en/club/7740
107,etobicokebjj,"2918 Lake Shore Blvd W, Etobicoke, ON M8V 1J4,",Alex Perez,https://smoothcomp.com/en/club/46957
108,DraganBJJ(Alliance),Canada,,https://smoothcomp.com/en/club/12008
109,TheVault,Canada,James Simon,https://smoothcomp.com/en/club/7522
110,AirdrieMartialArtsCentre,Canada,,https://smoothcomp.com/en/club/7718
111,GracieBarraWhistler,Canada,,https://smoothcomp.com/en/club/7771
112,InfinityMixedMartialArts,Canada,,https://smoothcomp.com/en/club/7779
113,TeamRenzoGracie,Canada,Kailyn Fewer,https://smoothcomp.com/en/club/7406
114,MambaMMA,Canada,,https://smoothcomp.com/en/club/10367
115,UniversalMMA,Canada,,https://smoothcomp.com/en/club/7842
116,GracieBarraWestIsland,Canada,,https://smoothcomp.com/en/club/9931
117,TeamDNABJJ,"2001 Thickson Rd S, Whitby, ON L1N 6J3,",Landon Clements,https://smoothcomp.com/en/club/38901
118,PatenaudeMartialArts,Canada,Peter Lahaie,https://smoothcomp.com/en/club/21749
119,WAMMA-Brandon,Canada,Erin Chartrand,https://smoothcomp.com/en/club/6838
120,Métropolitain,Canada,,https://smoothcomp.com/en/club/22034
121,MMAUniversity,Canada,Nate Hogarth,https://smoothcomp.com/en/club/7794
122,BarrieBrazilianJiuJitsu,"142 Commerce Park Dr. Barrie Ontario,",Sue Carrique,https://smoothcomp.com/en/club/31620
123,Abhaya,Canada,Levi Nickerson,https://smoothcomp.com/en/club/7404
124,BarrieGracieHuamita,"417 Huronia Rd Unit B, Barrie, ON L4N 9B3",,https://smoothcomp.com/en/club/31874
125,YGK-BO4Kingston,"4-745 Progress Ave, Kingston ON K7M 6S4,",Marco Costa,https://smoothcomp.com/en/club/38734
126,BRAZZILIANWARRIORSAGUASCLIENTES,"AV CONSTITUCION #1635,",RUBEN FERNANDO GONZALEZ ROMERO,https://smoothcomp.com/en/club/39537
127,ErisMartialArts,"306 George St N, Peterborough, ON K9J 8B7,",Tim Gane,https://smoothcomp.com/en/club/15123
128,Lewis’KarateSchool,"417B Huronia Rd, Barrie, ON L4N 9B3,",Rydel Garcia,https://smoothcomp.com/en/club/49962
129,bruckmannmma,Canada,,https://smoothcomp.com/en/club/9928
130,RibeiroJiuJitsuTecumseh,Canada,,https://smoothcomp.com/en/club/12031
131,RJCC,"CAMERON, NC,",Evan Johnson,https://smoothcomp.com/en/club/50890
132,AmericanSubmissionWrestling,Canada,Jeremy Walters,https://smoothcomp.com/en/club/53413
133,NOMADBRAZILIANJIU-JITSU,Canada,,https://smoothcomp.com/en/club/5998
134,WulfrunCharlottetown,Canada,Mark MacGregor,https://smoothcomp.com/en/club/7497
135,EdmontonGracieJiu-Jitsu,Canada,,https://smoothcomp.com/en/club/7755
136,EdsonCarvalho,Canada,Ty Harbour,https://smoothcomp.com/en/club/7756
137,PacificTopTeamRichmond,Canada,Wataru Hyodo,https://smoothcomp.com/en/club/7808
138,Posener'sPankration,Canada,,https://smoothcomp.com/en/club/7813
139,EliteBrazilianJiuJitsu,Canada,Scott Jackson,https://smoothcomp.com/en/club/9780
140,Westislandjiujitsu,Canada,,https://smoothcomp.com/en/club/10122
141,MXTHALIFAX,Canada,Rebecca Faris,https://smoothcomp.com/en/club/6260
142,Synergy,Canada,Josh Howe,https://smoothcomp.com/en/club/7486
143,BarrhavenMartialArtsCenter,Canada,Ruby MacNeil,https://smoothcomp.com/en/club/16070
144,TeamBushido,Canada,,https://smoothcomp.com/en/club/16096
145,AbsoluteBJJ,"459 Barton Street, Unit #1, Stoney Creek, Ontario,",Gabe Sagman,https://smoothcomp.com/en/club/14799
146,Independent,Canada,Kalen Monkman,https://smoothcomp.com/en/club/6532
147,CoreBJJ/EliteMississauga,"1557 Sedlescomb Dr, Mississauga, ON L4X 1M4,",Adam Svab,https://smoothcomp.com/en/club/14755
148,KawarthaCombat,"910 High St Unit 15, Peterborough ON K9J 5R2,",Marco Costa,https://smoothcomp.com/en/club/38732
149,Victoryjiujitsu,Canada,Ethan Graves,https://smoothcomp.com/en/club/29422
